DATAUNIT, bytes_sent, time, data_rate
500,59793,3.188,18.756
500,59793,2.368,25.25
500,59793,2.326,25.706
500,59793,2.204,27.129
500,59793,2.28,26.225
,,,
1000,59793,1.361,43.933
1000,59793,1.457,41.038
1000,59793,1.429,41.843
1000,59793,1.519,39.363
1000,59793,1.26,47.455
,,,
1500,59793,1.02,58.621
1500,59793,0.898,66.585
1500,59793,1.056,56.622
1500,59793,0.954,62.676
1500,59793,0.992,60.275
,,,
2000,59793,0.717,83.393
2000,59793,0.845,70.761
2000,59793,0.874,68.413
2000,59793,0.761,78.572
2000,59793,0.818,73.097
,,,
2500,59793,0.68,87.931
2500,59793,0.66,90.595
2500,59793,0.989,60.458
2500,59793,0.706,84.693
2500,59793,0.687,87.035
,,,
3000,59793,0.517,115.654
3000,59793,0.579,103.269
3000,59793,0.612,97.701
3000,59793,0.578,103.448
3000,59793,0.533,112.182
,,,
3500,59793,0.529,113.03
3500,59793,0.529,113.03
3500,59793,0.511,117.012
3500,59793,0.518,115.43
3500,59793,0.531,112.605
,,,
4000,59793,0.378,158.183
4000,59793,0.475,125.88
4000,59793,0.465,128.587
4000,59793,0.478,125.09
4000,59793,0.521,114.766
,,,
4500,59793,0.477,125.352
4500,59793,0.504,118.637
4500,59793,0.426,140.359
4500,59793,0.504,118.637
4500,59793,0.396,150.992
,,,
5000,59793,0.415,144.08
5000,59793,0.418,143.045
5000,59793,0.39,153.315
5000,59793,0.393,152.145
5000,59793,0.365,163.816
,,,
5500,59793,0.346,172.812
5500,59793,0.354,168.907
5500,59793,0.34,175.862
5500,59793,0.347,172.314
5500,59793,0.324,184.546
,,,
6000,59793,0.346,172.812
6000,59793,0.293,204.072
6000,59793,0.351,170.35
6000,59793,0.318,188.028
6000,59793,0.312,191.644
,,,
6500,59793,0.281,212.786
6500,59793,0.297,201.323
6500,59793,0.281,212.786
6500,59793,0.304,196.688
6500,59793,0.283,211.283
,,,
7000,59793,0.295,202.688
7000,59793,0.314,190.424
7000,59793,0.316,189.218
7000,59793,0.301,198.648
7000,59793,0.344,173.817
,,,
7500,59793,0.273,219.022
7500,59793,0.264,226.489
7500,59793,0.296,202.003
7500,59793,0.31,192.881
7500,59793,0.28,213.546
,,,
8000,59793,0.33,181.191
8000,59793,0.276,216.641
8000,59793,0.318,188.028
8000,59793,0.291,205.474
8000,59793,0.313,191.032
,,,
8500,59793,0.289,206.896
8500,59793,0.304,196.688
8500,59793,0.291,205.474
8500,59793,0.301,198.648
8500,59793,0.323,185.118
,,,
9000,59793,0.274,218.223
9000,59793,0.284,210.539
9000,59793,0.311,192.26
9000,59793,0.318,188.028
9000,59793,0.308,194.133
,,,
9216,59793,0.275,217.429
9216,59793,0.308,194.133
9216,59793,0.273,219.022
9216,59793,0.262,228.218
9216,59793,0.303,197.337
,,,
9217,0,0,0
9217,0,0,0
9217,0,0,0
9217,0,0,0
9217,0,0,0
