DATAUNIT 0500 bytes | 59793 bytes sent over 3.188ms | 18.756 Mbytes/s.
DATAUNIT 0500 bytes | 59793 bytes sent over 2.368ms | 25.250 Mbytes/s.
DATAUNIT 0500 bytes | 59793 bytes sent over 2.326ms | 25.706 Mbytes/s.
DATAUNIT 0500 bytes | 59793 bytes sent over 2.204ms | 27.129 Mbytes/s.
DATAUNIT 0500 bytes | 59793 bytes sent over 2.280ms | 26.225 Mbytes/s.

DATAUNIT 1000 bytes | 59793 bytes sent over 1.361ms | 43.933 Mbytes/s.
DATAUNIT 1000 bytes | 59793 bytes sent over 1.457ms | 41.038 Mbytes/s.
DATAUNIT 1000 bytes | 59793 bytes sent over 1.429ms | 41.843 Mbytes/s.
DATAUNIT 1000 bytes | 59793 bytes sent over 1.519ms | 39.363 Mbytes/s.
DATAUNIT 1000 bytes | 59793 bytes sent over 1.260ms | 47.455 Mbytes/s.

DATAUNIT 1500 bytes | 59793 bytes sent over 1.020ms | 58.621 Mbytes/s.
DATAUNIT 1500 bytes | 59793 bytes sent over 0.898ms | 66.585 Mbytes/s.
DATAUNIT 1500 bytes | 59793 bytes sent over 1.056ms | 56.622 Mbytes/s.
DATAUNIT 1500 bytes | 59793 bytes sent over 0.954ms | 62.676 Mbytes/s.
DATAUNIT 1500 bytes | 59793 bytes sent over 0.992ms | 60.275 Mbytes/s.

DATAUNIT 2000 bytes | 59793 bytes sent over 0.717ms | 83.393 Mbytes/s.
DATAUNIT 2000 bytes | 59793 bytes sent over 0.845ms | 70.761 Mbytes/s.
DATAUNIT 2000 bytes | 59793 bytes sent over 0.874ms | 68.413 Mbytes/s.
DATAUNIT 2000 bytes | 59793 bytes sent over 0.761ms | 78.572 Mbytes/s.
DATAUNIT 2000 bytes | 59793 bytes sent over 0.818ms | 73.097 Mbytes/s.

DATAUNIT 2500 bytes | 59793 bytes sent over 0.680ms | 87.931 Mbytes/s.
DATAUNIT 2500 bytes | 59793 bytes sent over 0.660ms | 90.595 Mbytes/s.
DATAUNIT 2500 bytes | 59793 bytes sent over 0.989ms | 60.458 Mbytes/s.
DATAUNIT 2500 bytes | 59793 bytes sent over 0.706ms | 84.693 Mbytes/s.
DATAUNIT 2500 bytes | 59793 bytes sent over 0.687ms | 87.035 Mbytes/s.

DATAUNIT 3000 bytes | 59793 bytes sent over 0.517ms | 115.654 Mbytes/s.
DATAUNIT 3000 bytes | 59793 bytes sent over 0.579ms | 103.269 Mbytes/s.
DATAUNIT 3000 bytes | 59793 bytes sent over 0.612ms | 97.701 Mbytes/s.
DATAUNIT 3000 bytes | 59793 bytes sent over 0.578ms | 103.448 Mbytes/s.
DATAUNIT 3000 bytes | 59793 bytes sent over 0.533ms | 112.182 Mbytes/s.

DATAUNIT 3500 bytes | 59793 bytes sent over 0.529ms | 113.030 Mbytes/s.
DATAUNIT 3500 bytes | 59793 bytes sent over 0.529ms | 113.030 Mbytes/s.
DATAUNIT 3500 bytes | 59793 bytes sent over 0.511ms | 117.012 Mbytes/s.
DATAUNIT 3500 bytes | 59793 bytes sent over 0.518ms | 115.430 Mbytes/s.
DATAUNIT 3500 bytes | 59793 bytes sent over 0.531ms | 112.605 Mbytes/s.

DATAUNIT 4000 bytes | 59793 bytes sent over 0.378ms | 158.183 Mbytes/s.
